title,year,certificate,runtime,genre,desc,rating,votes
Freddy,2022,UA 16+,124 min,"Drama, Mystery, Thriller            ",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,7.9,"16,441"
An Action Hero,2022,U,130 min,Action            ,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",8.1,"15,690"
Kantara,2022,UA,148 min,"Action, Adventure, Drama            ",It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?,8.7,"78,358"
Khakee: The Bihar Chapter,2022–,UA 13+,45 min,"Action, Crime, Drama            ","As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption.",8.3,"4,464"
Drishyam 2,2022,UA,140 min,"Crime, Drama, Mystery            ",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,8.6,"18,743"
Qala,2022,UA 16+,119 min,"Drama, History, Music            ","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",7.2,"1,903"
Bhediya,2022,UA,156 min,"Comedy, Horror, Thriller            ","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",7.7,"12,771"
Goodbye,I 2022,U,130 min,"Comedy, Drama, Family            ",A heartwarming story of the Bhalla family that depicts their journey of grief and self-discovery after they suffer the loss of their loved one.,7.3,"6,977"
RRR (Rise Roar Revolt),2022,UA,187 min,"Action, Drama            ",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,8.0,"117,876"
India Lockdown,2022,UA,117 min,Drama            ,"Inspired by true events, 'India Lockdown' depicts four parallel stories and the repercussions of the Covid-19 pandemic on the people of India.",8.7,"5,859"
Cat,2022–,18,null,"Crime, Drama, Thriller            ","A former police informant is forced to become an informant again to save the life of his brother, which forces him to come to terms with his dark past.",9.3,"3,464"
Office Christmas Party,2016,R,105 min,Comedy            ,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",5.9,"81,245"
Chup,2022,A,135 min,"Drama, Romance, Thriller            ","A psychopath killer, targeting film critics. The film is a fast-paced thriller that raises many questions of the ethics of criticism.",7.9,"18,122"
Dharavi Bank,2022–,UA 16+,null,"Crime, Drama, Thriller            ","A 30,000 Crore crime nexus is being ruled by the unattainable Thalaivan right in the heart of Mumbai, in Dharavi. JCP Jayant Gavaskar is on a mission to bring down Thalaivan and his adversaries, at any cost.",8.8,"3,969"
Vadhandhi: The Fable of Velonie,2022–,A,null,"Crime, Drama, Mystery            ","The murder of a beautiful young girl, seen from the Rashomon-esque perspectives of an unrelenting obsessed cop, a novelist captivated by her grace and an opportunistic news editor.",8.5,"2,157"
Sita Ramam,2022,U,163 min,"Action, Drama, Mystery            ","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",8.6,"48,954"
Brahmastra Part One: Shiva,2022,UA,167 min,"Action, Adventure, Fantasy            ","This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",5.6,"104,827"
